is_proj_med	num_extlinks	num_pages
true	341	2
true	255	2
false	952	2
false	645	2
false	753	2
false	783	2
false	916	2
false	908	2
false	1634	2
false	767	2
false	825	2
false	643	2
false	1356	2
true	309	2
true	349	2
true	403	2
false	843	2
false	680	2
false	1101	2
false	880	2
false	1156	2
false	903	2
false	580	2
false	968	2
true	373	2
true	268	2
true	424	2
true	245	2
true	377	2
true	299	2
false	697	2
false	878	2
false	782	2
false	727	2
false	899	2
false	1092	2
false	718	2
true	328	2
true	295	2
true	369	2
true	238	2
false	760	2
false	784	2
false	713	2
false	940	2
false	728	2
false	723	2
false	792	2
false	752	2
false	989	2
true	315	2
false	785	2
true	329	2
true	283	2
false	677	2
false	770	2
false	758	2
false	809	2
false	701	2
false	740	2
true	297	2
true	293	2
true	331	2
true	243	2
true	188	2
true	310	2
true	333	2
false	578	2
false	743	2
false	629	2
false	845	2
false	750	2
false	883	2
false	633	2
true	433	2
false	1010	2
true	404	2
true	265	2
true	335	2
true	280	2
false	575	2
false	1005	2
false	826	2
false	800	2
false	732	2
false	852	2
true	388	2
true	220	2
true	405	2
false	867	2
false	941	2
false	623	2
false	1053	2
false	789	2
false	1422	2
false	1019	2
false	724	2
true	415	2
true	214	2
true	392	2
true	251	2
false	1015	2
false	706	2
true	442	2
false	2002	2
true	246	2
false	733	2
false	807	2
false	828	2
false	901	2
false	683	2
false	853	2
false	830	2
false	859	2
true	359	2
false	632	2
false	655	2
false	870	2
false	816	2
false	1007	2
false	902	2
true	414	2
true	311	2
false	660	2
false	778	2
false	769	2
false	694	2
false	1192	2
true	303	2
true	397	2
true	348	2
false	720	2
false	793	2
false	1332	2
false	879	2
false	653	2
false	605	2
false	755	2
false	3228	2
true	476	2
true	288	2
false	646	2
false	934	2
false	1137	2
false	917	2
false	708	2
false	725	2
false	564	2
false	634	2
true	395	2
false	698	2
false	821	2
false	851	2
false	656	2
false	958	2
true	286	2
false	848	2
true	573	2
false	790	2
false	1635	1
false	2021	1
false	1518	1
false	2542	1
false	1599	1
false	965	1
false	722	1
false	1286	1
false	955	1
false	999	1
false	871	1
true	383	1
false	597	1
false	1498	1
false	1004	1
false	2950	1
false	1649	1
true	426	1
true	512	1
true	519	1
true	521	1
true	634	1
true	428	1
true	810	1
true	633	1
false	1106	1
false	1256	1
false	877	1
false	832	1
false	872	1
false	1352	1
false	1203	1
false	1125	1
false	638	1
false	1395	1
false	984	1
false	1152	1
true	473	1
true	491	1
true	371	1
true	526	1
true	346	1
true	304	1
true	381	1
false	855	1
